"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
1494	"spring"	0.05	8.2	0	10.16	0	10.3	46.78	12.25
1494	"summer"	0	4.87	0	6.92	0	7.11	50.34	8.72
1494	"autumn"	0.05	8.15	0	11.19	0	9.32	124.74	12.65
1495	"winter"	0.05	7.65	0	9.1	0	8.88	341.12	17.86
1495	"spring"	0	7.05	0	7.7	0	10	133.45	17.16
1495	"summer"	0	4.33	0	5.24	0	7.05	288.38	16.78
1495	"autumn"	0.05	7.35	0	9	0	8.1	97.57	19.01
2013	"winter"	0.05	12.83	0	16.2	0	14.08	71.39	14.4
2013	"spring"	0.05	9.78	0	12.93	0	10.8	43.25	12.37
2013	"summer"	0	6.15	0	7.3	0	9.2	55.2	8.3
2013	"autumn"	0.05	9.12	0	9.86	0	9.59	29.21	16.69
2020	"winter"	0.05	12.77	0.1	16.1	0	15.62	163.56	17.4
2020	"spring"	0.05	9.25	0	11.68	0	11.33	34.29	17.66
2020	"summer"	0.01	6.6	0	6.82	0	9.87	83.11	13.4
2020	"autumn"	0.03	9.8	0	11.5	0	10.75	125.28	21.49
2024	"winter"	0.05	13.68	0.1	17	0	16.09	NA	28.65
2024	"spring"	0.05	10.44	0	14.86	0	11.56	NA	34.75
2024	"summer"	0.05	5.91	0	6.72	0.1	8.9	NA	21.66
2024	"autumn"	0.05	9.26	0	9.53	0	10.57	NA	28.36
2029	"winter"	0.05	10.48	0.1	13.1	0	11.62	NA	18.17
2029	"spring"	0.05	8.25	0	10.17	0	10.56	NA	15.63
2029	"summer"	0	5.95	0	6.87	0	8.3	NA	15.44
2029	"autumn"	0.05	8.56	0	9.6	0	10.18	NA	16.25
2031	"winter"	0.05	15.8	0.1	20.78	0.1	16.78	19.51	24.99
2031	"spring"	0.05	11.5	0.1	17.7	0	11.58	39.06	14.77
2031	"summer"	0	6.55	0	8.9	0.1	9.35	80.16	13.51
2031	"autumn"	0.05	13.14	0	16.54	0	14	81.82	13.42
2036	"winter"	0.1	20.1	0.1	25.85	0.1	22.78	40.41	18.5
2036	"spring"	0.05	13.68	0	21.19	0	12.01	38.59	13.37
2036	"summer"	0	6.6	0	10.29	0	9.2	85.86	10.73
2036	"autumn"	0.05	16.34	0	20.3	0	18.3	52.82	14.98
2038	"winter"	0.08	16.07	0.1	19.92	0	16.63	34.44	9.32
2038	"spring"	0.05	11.56	0.1	17.7	0	11.88	37.74	9.27
2038	"summer"	0.05	7.36	0.1	11.5	0.06	9.44	60.86	8.32
2038	"autumn"	0.05	13.92	0	17.04	0	15.51	45.89	8.32
2044	"winter"	0.05	13.65	0	17.4	0	15.25	128.77	14.99
2044	"spring"	0	10.52	0	14.58	0	11.25	26.46	13.24
2044	"summer"	0	7.03	0	8.65	0	9.53	216.73	12.11
2044	"autumn"	0.05	11.44	0	13.78	0	13	45.58	10.84
2049	"winter"	0.07	15	0	20.4	0	17	55.06	13.22
2049	"spring"	0.05	12.2	0	17.62	0	12.7	29.44	8.04
2049	"summer"	0	6.75	0	9.2	0	10	43.02	12.39
2049	"autumn"	0	13.93	0	16.4	0	15.1	42.95	9.44
2055	"winter"	0.05	17.95	0	23.8	0	20.3	19.66	17.97
2055	"spring"	0.05	13.75	0.1	20.9	0	12	23.19	13.63
2055	"summer"	0.05	7.14	0	11.1	0	9.4	71.77	10.64
2055	"autumn"	0.05	15.37	0.1	18.34	0	16.7	44.07	10.44
2064	"winter"	0.1	14.85	0.1	19.7	0	16.4	21.94	8.88
2064	"spring"	0.05	11.48	0	14.42	0	12.3	28.13	9.1
2064	"summer"	0	6.83	0	7.56	0	9.8	43.3	8.96
2064	"autumn"	0.05	12.08	0	14.74	0.07	14.7	41.88	9.06
2072	"winter"	0.05	13.85	0.1	18.23	0.1	14.28	25.25	9.41
2072	"spring"	0.05	11.75	0.1	15.89	0	12.71	41.53	8.91
2072	"summer"	0	7.45	0	9.9	0	9.9	77.81	7.41
2072	"autumn"	0.05	13.8	0	15.85	0	14.7	66.1	7.94
2080	"winter"	0.09	15.72	0.1	21.67	0	18.8	32.12	15.02
2080	"spring"	0.04	12.34	0	17.54	0	12.52	30.85	12.99
2080	"summer"	0.05	6.95	0	8.7	0	9.67	46.24	16.82
2080	"autumn"	0.05	13.48	0	16	0	15.33	136.94	20.9
2096	"winter"	0	16	0	21.6	0	18.32	25.61	9.71
