"Station"	"DayTime"	"N"	"TN"	"TX"	"MVP"	"TT06"	"TT09"	"TT12"	"TT15"	"TT18"	"RH06"	"RH09"	"RH12"	"RH15"	"RH18"	"VPD"	"SLOPE"	"VIS"	"SNOW"	"MSUN"	"MRAD"	"RRR"	"FF"
2720	20180114	0.5	-3.5	6.5	7.42	6.2	NA	-2	3	4.2	99.26	NA	NA	96.57	99.27	0.12	0.54	2.07	0	0	0	NA	34.5
8380	20180114	0.71	NA	NA	7.61	-3.8	NA	3	8	6.2	100	NA	96.57	96.63	99.26	0.13	0.55	4.2	0	NA	NA	NA	34.5
