"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
50915	"spring"	0.05	17.6	0.1	16.39	0.1	23.01	86.46	12.23
50915	"summer"	0.05	8.95	0	9.1	0	12.9	105.74	11.81
50915	"autumn"	0	20.31	0.1	21.22	0.1	23.66	66.37	9.68
50949	"winter"	0.05	11.45	0.1	14.01	0	12.7	29.46	7.06
50949	"spring"	0.05	13.92	0	14.9	0.1	18.18	128.55	8.72
50949	"summer"	0.05	6.55	0	7.2	0	9.1	138.82	6.49
50949	"autumn"	0.05	18.24	0	21.24	0	19.77	182.71	7.27
50953	"winter"	0.05	11.45	0	13	0	13.5	65.41	7.37
50953	"spring"	0.05	15.83	0.1	18	0	18.64	69.69	10.1
50953	"summer"	0.05	6.75	0	7.6	0	8.8	153.84	6.58
50953	"autumn"	0.05	22.88	0	23.48	0	20.36	177.94	9.4
50963	"winter"	0.05	11.1	0.1	14.7	0	12.7	14.79	11.87
50963	"spring"	0.05	15.82	0	18.4	0	18.63	44.61	11.88
50963	"summer"	0	6.3	0	7.7	0	9.2	161.23	13.02
50963	"autumn"	0.05	26.88	0	28.3	0	22.18	63.35	10.8
50968	"winter"	0.05	12.2	0.1	15.9	0	13.72	30.01	11.22
50968	"spring"	0.05	14.78	0	18.1	0.1	16.1	81.91	8.7
50968	"summer"	0	6.2	0	7.3	0	9.2	140.56	7.09
50968	"autumn"	0.05	24.67	0	25.19	0	19.85	142.81	8.24
50978	"winter"	0.05	10.67	0.1	11.3	0	12.97	27.13	14.69
50978	"spring"	0.05	14.88	0	13.25	0.08	17.52	67.66	13.23
50978	"summer"	0.05	6.35	0	7	0	9.5	120.91	10.35
50978	"autumn"	0.05	23.83	0	24.07	0	20.95	196.47	12.44
50983	"winter"	0.05	10.83	0	12.26	0	12.6	41.49	8.84
50983	"spring"	0	13.82	0	15.96	0	14.35	146.2	10.26
50983	"summer"	0	5.75	0	6.3	0	8.3	126.83	7.42
50983	"autumn"	0.05	25.41	0.1	25.99	0	21.9	106.21	10.59
51087	"winter"	0.05	13.61	0	16.85	0	11.66	33.89	8.81
51087	"spring"	0.05	18.11	0	17.1	0	17.21	40.2	10.51
51087	"summer"	0	7.35	0	7.6	0.1	10.6	39.74	8.81
51087	"autumn"	0.05	19.98	0	17.17	0	22.37	89.28	8.74
51288	"winter"	0.05	10.47	0	11.01	0.1	11.3	11.69	7.35
51288	"spring"	0.05	16.67	0	15.31	0.1	18	25.89	12.5
51288	"summer"	0.05	8.75	0	8.6	0	10.9	45.5	7.95
51288	"autumn"	0.05	16.77	0	16.15	0.1	17.76	41.15	8.83
51379	"winter"	0.05	10.04	0	15.15	0	11.59	37.82	5.19
51379	"spring"	0.05	17.48	0.07	19.22	0.1	19.45	61.53	8.72
51379	"summer"	0.05	6.66	0	7.8	0.1	11.42	97.47	6.78
51379	"autumn"	0.05	18.07	0	15.55	0	19.5	26.77	6.57
51495	"winter"	0	10.16	0	11.07	0	10.31	4.2	29.76
51495	"spring"	0.05	16.11	0	15.51	0.1	15.91	53.62	31.64
51495	"summer"	0.05	9.45	0	9.4	0	12	45.18	28.16
51495	"autumn"	0	18.35	0	15.3	0	19.98	12.8	26.35
51573	"winter"	0	10.86	0	9.2	0	12.29	18.53	4.66
51573	"spring"	0.05	16.66	0	15.03	0	16.6	16.73	8.93
51573	"summer"	0	6.46	0	7.5	0	9.1	23.26	5.82
51573	"autumn"	0	15.18	0	21.33	0	14.63	17.6	4.89
51886	"winter"	0.05	6.99	0	8.4	0	8.59	5.6	8.09
51886	"spring"	0	11.74	0	11.2	0	11.61	17	15.84
51886	"summer"	0	5.7	0	6.9	0	9.2	22.01	7.36
51886	"autumn"	0	16.37	0	15.18	0	14.2	60.85	13.35
52203	"winter"	0	8.5	0	10.77	0	9.2	51.27	4.36
52203	"spring"	0.05	15.23	0	14.17	0	17.22	46.05	7.35
